kingdom;phylum;class;order;family;genus;species
k__Amorphea; p__Ascomycota; c__Eurotiomycetes; o__Chaetothyriales; f__; g__; s__
k__Amorphea; p__Ascomycota; c__Eurotiomycetes; o__Chaetothyriales; f__Herpotrichiellaceae; g__Cladophialophora; s__
k__Amorphea; p__Ascomycota; c__Eurotiomycetes; o__Chaetothyriales; f__Herpotrichiellaceae; g__Cladophialophora; s__Cladophialophora minutissima
k__Amorphea; p__Ascomycota; c__Leotiomycetes; o__; f__; g__; s__
k__Amorphea; p__Ascomycota; c__Leotiomycetes; o__Helotiales; f__; g__; s__
k__Amorphea; p__Basidiomycota; c__Microbotryomycetes; o__; f__; g__; s__
k__Amorphea; p__Basidiomycota; c__Microbotryomycetes; o__Kriegeriales; f__Camptobasidiaceae; g__; s__
k__Amorphea; p__Basidiomycota; c__Microbotryomycetes; o__Kriegeriales; f__Camptobasidiaceae; g__; s__
k__Amorphea; p__Basidiomycota; c__Microbotryomycetes; o__Leucosporidiales; f__Leucosporidiaceae; g__Leucosporidium; s__
k__Amorphea; p__Blastocladiomycota; c__Blastocladiomycetes; o__Blastocladiales; f__; g__; s__
k__Amorphea; p__Blastocladiomycota; c__Blastocladiomycetes; o__Blastocladiales; f__Blastocladiaceae; g__Blastocladiella; s__
k__Amorphea; p__Choanoflagellida (phylum); c__Choanoflagellatea; o__Craspedida; f__; g__; s__
k__Amorphea; p__Choanoflagellida (phylum); c__Choanoflagellatea; o__Craspedida; f__Salpingoecidae Group C1; g__Salpingoecidae Group C1 X; s__
k__Amorphea; p__Chytridiomycota; c__Chytridiomycetes; o__Chytridiales; f__Chytridiaceae; g__; s__
k__Amorphea; p__Chytridiomycota; c__Chytridiomycetes; o__Chytridiales; f__Chytriomycetaceae; g__Chytriomyces; s__
k__Amorphea; p__Chytridiomycota; c__Chytridiomycetes; o__Gromochytriales; f__Gromochytriaceae; g__; s__
k__Amorphea; p__Chytridiomycota; c__Chytridiomycetes; o__Lobulomycetales; f__Lobulomycetaceae; g__; s__
k__Amorphea; p__Chytridiomycota; c__Chytridiomycetes; o__Lobulomycetales; f__Lobulomycetaceae; g__; s__
k__Amorphea; p__Chytridiomycota; c__Chytridiomycetes; o__Rhizophydiales; f__; g__; s__
k__Amorphea; p__Chytridiomycota; c__Chytridiomycetes; o__Rhizophydiales; f__; g__; s__
k__Amorphea; p__Chytridiomycota; c__Chytridiomycetes; o__Rhizophydiales; f__Rhizophydiaceae; g__; s__
k__Amorphea; p__Chytridiomycota; c__Chytridiomycetes; o__Rhizophydiales; f__Rhizophydiaceae; g__; s__
k__Amorphea; p__Chytridiomycota; c__Chytridiomycetes; o__Rhizophydiales; f__Rhizophydiaceae; g__; s__
k__Amorphea; p__Chytridiomycota; c__Chytridiomycetes; o__Rhizophydiales; f__Rhizophydiaceae; g__; s__
k__Amorphea; p__Chytridiomycota; c__Chytridiomycetes; o__Rhizophydiales; f__Rhizophydiaceae; g__Rhizophydium; s__
k__Amorphea; p__Conosa; c__Variosea; o__ATCC50593-Flamella-WIM80-lineage; f__; g__; s__
k__Amorphea; p__Conosa; c__Variosea; o__ATCC50593-Flamella-WIM80-lineage; f__Flamella-lineage; g__Flamella-lineage X; s__
k__Amorphea; p__Ichthyosporea; c__Ichthyosphonida; o__Pseudoperkinsidae; f__; g__; s__
k__Amorphea; p__Lobosa; c__Tubulinea; o__Nolandida; f__; g__; s__
k__Amorphea; p__Lobosa; c__Tubulinea; o__Nolandida; f__Nolandellidae; g__; s__
k__Amorphea; p__Lobosa; c__Tubulinea; o__Nolandida; f__Nolandellidae; g__Nolandellidae X; s__
k__Amorphea; p__Nucleariidea; c__Nucleariida; o__Nucleariida X; f__Nuclearia family incertae sedis; g__Nuclearia; s__
k__Amorphea; p__Rotifera; c__Bdelloidea (Rotifera); o__Adinetida; f__; g__; s__
k__Amorphea; p__Rotifera; c__Bdelloidea (Rotifera); o__Adinetida; f__; g__; s__
k__Amorphea; p__Rotifera; c__Bdelloidea (Rotifera); o__Adinetida; f__Adinetidae; g__Adineta; s__
k__Amorphea; p__Tardigrada; c__Eutardigrada; o__Parachaela; f__; g__; s__
k__Amorphea; p__Tardigrada; c__Eutardigrada; o__Parachaela; f__; g__; s__
k__Amorphea; p__Tardigrada; c__Eutardigrada; o__Parachaela; f__; g__; s__
k__Amorphea; p__Tardigrada; c__Eutardigrada; o__Parachaela; f__; g__; s__
k__Amorphea; p__Tardigrada; c__Eutardigrada; o__Parachaela; f__; g__; s__
k__Archaeplastida; p__Chlorophyta; c__; o__; f__; g__; s__
k__Archaeplastida; p__Chlorophyta; c__; o__; f__; g__; s__
k__Archaeplastida; p__Chlorophyta; c__; o__; f__; g__; s__
k__Archaeplastida; p__Chlorophyta; c__; o__; f__; g__; s__
k__Archaeplastida; p__Chlorophyta; c__Chlorophyceae; o__Chlamydomonadales; f__; g__; s__
k__Archaeplastida; p__Chlorophyta; c__Chlorophyceae; o__Chlamydomonadales; f__; g__; s__
k__Archaeplastida; p__Chlorophyta; c__Chlorophyceae; o__Chlamydomonadales; f__; g__; s__
k__Archaeplastida; p__Chlorophyta; c__Chlorophyceae; o__Chlamydomonadales; f__; g__; s__
k__Archaeplastida; p__Chlorophyta; c__Chlorophyceae; o__Chlamydomonadales; f__; g__; s__
k__Archaeplastida; p__Chlorophyta; c__Chlorophyceae; o__Chlamydomonadales; f__Chlamydomonadales XX; g__; s__
k__Archaeplastida; p__Chlorophyta; c__Chlorophyceae; o__Chlamydomonadales; f__Chlamydomonadales XX; g__; s__
k__Archaeplastida; p__Chlorophyta; c__Chlorophyceae; o__Chlamydomonadales; f__Chlamydomonadales XX; g__; s__
k__Archaeplastida; p__Chlorophyta; c__Chlorophyceae; o__Chlamydomonadales; f__Chlamydomonadales XX; g__; s__
k__Archaeplastida; p__Chlorophyta; c__Chlorophyceae; o__Chlamydomonadales; f__Chloromonas; g__Chloromonas polyptera genus incertae sedis; s__
k__Archaeplastida; p__Chlorophyta; c__Mamiellophyceae; o__Monomastigales; f__Monomastigaceae; g__; s__
k__Archaeplastida; p__Streptophyta; c__Zygnemophyceae; o__Zygnematales; f__; g__; s__
k__Bacteria (superkingdom); p__; c__; o__; f__; g__; s__
k__Bacteria (superkingdom); p__; c__; o__; f__; g__; s__
k__Bacteria (superkingdom); p__; c__; o__; f__; g__; s__
k__Bacteria (superkingdom); p__; c__; o__; f__; g__; s__
k__Bacteria (superkingdom); p__; c__; o__; f__; g__; s__
k__Bacteria (superkingdom); p__; c__; o__; f__; g__; s__
k__Bacteria (superkingdom); p__; c__; o__; f__; g__; s__
k__Bacteria (superkingdom); p__; c__; o__; f__; g__; s__
k__Bacteria (superkingdom); p__; c__; o__; f__; g__; s__
k__Bacteria (superkingdom); p__; c__; o__; f__; g__; s__
k__Bacteria (superkingdom); p__; c__; o__; f__; g__; s__
k__Bacteria (superkingdom); p__; c__; o__; f__; g__; s__
k__Bacteria (superkingdom); p__Abditibacteriota; c__Abditibacteria; o__Abditibacteriales; f__Abditibacteriaceae; g__Abditibacterium; s__
k__Bacteria (superkingdom); p__Acidobacteriota; c__Acidobacteriae; o__Acidobacteriales; f__Acidobacteriaceae (Subgroup 1); g__; s__
k__Bacteria (superkingdom); p__Acidobacteriota; c__Acidobacteriae; o__Acidobacteriales; f__Acidobacteriaceae (Subgroup 1); g__; s__
k__Bacteria (superkingdom); p__Acidobacteriota; c__Acidobacteriae; o__Acidobacteriales; f__Acidobacteriaceae (Subgroup 1); g__; s__
k__Bacteria (superkingdom); p__Acidobacteriota; c__Acidobacteriae; o__Acidobacteriales; f__Acidobacteriaceae (Subgroup 1); g__; s__
k__Bacteria (superkingdom); p__Acidobacteriota; c__Acidobacteriae; o__Acidobacteriales; f__Acidobacteriaceae (Subgroup 1); g__; s__
k__Bacteria (superkingdom); p__Acidobacteriota; c__Acidobacteriae; o__Acidobacteriales; f__Acidobacteriaceae (Subgroup 1); g__; s__
k__Bacteria (superkingdom); p__Acidobacteriota; c__Acidobacteriae; o__Acidobacteriales; f__Acidobacteriaceae (Subgroup 1); g__; s__
k__Bacteria (superkingdom); p__Acidobacteriota; c__Acidobacteriae; o__Acidobacteriales; f__Acidobacteriaceae (Subgroup 1); g__; s__
k__Bacteria (superkingdom); p__Acidobacteriota; c__Acidobacteriae; o__Acidobacteriales; f__Acidobacteriaceae (Subgroup 1); g__; s__
k__Bacteria (superkingdom); p__Acidobacteriota; c__Acidobacteriae; o__Acidobacteriales; f__Acidobacteriaceae (Subgroup 1); g__Granulicella; s__
k__Bacteria (superkingdom); p__Acidobacteriota; c__Acidobacteriae; o__Acidobacteriales; f__Acidobacteriaceae (Subgroup 1); g__Granulicella; s__
k__Bacteria (superkingdom); p__Acidobacteriota; c__Acidobacteriae; o__Acidobacteriales; f__Acidobacteriaceae (Subgroup 1); g__Terriglobus; s__Terriglobus saanensis SP1PR4
k__Bacteria (superkingdom); p__Acidobacteriota; c__Acidobacteriae; o__Bryobacterales; f__Bryobacteraceae; g__Bryobacter; s__
k__Bacteria (superkingdom); p__Acidobacteriota; c__Acidobacteriae; o__Solibacterales; f__Solibacteraceae; g__; s__
k__Bacteria (superkingdom); p__Acidobacteriota; c__Acidobacteriae; o__Solibacterales; f__Solibacteraceae; g__; s__
k__Bacteria (superkingdom); p__Acidobacteriota; c__Acidobacteriae; o__Solibacterales; f__Solibacteraceae; g__Candidatus Solibacter; s__
k__Bacteria (superkingdom); p__Acidobacteriota; c__Acidobacteriae; o__Solibacterales; f__Solibacteraceae; g__Candidatus Solibacter; s__
k__Bacteria (superkingdom); p__Actinobacteriota; c__Acidimicrobiia; o__; f__; g__; s__
k__Bacteria (superkingdom); p__Actinobacteriota; c__Acidimicrobiia; o__Microtrichales; f__Ilumatobacteraceae; g__CL500-29 marine group; s__
k__Bacteria (superkingdom); p__Actinobacteriota; c__Actinobacteria; o__Corynebacteriales; f__Nocardiaceae; g__; s__
k__Bacteria (superkingdom); p__Actinobacteriota; c__Actinobacteria; o__Frankiales; f__; g__; s__
k__Bacteria (superkingdom); p__Actinobacteriota; c__Actinobacteria; o__Frankiales; f__; g__; s__
k__Bacteria (superkingdom); p__Actinobacteriota; c__Actinobacteria; o__Frankiales; f__Frankiaceae; g__; s__
k__Bacteria (superkingdom); p__Actinobacteriota; c__Actinobacteria; o__Frankiales; f__Nakamurellaceae; g__; s__
k__Bacteria (superkingdom); p__Actinobacteriota; c__Actinobacteria; o__Frankiales; f__Nakamurellaceae; g__Nakamurella; s__Nakamurella panacisegetis
k__Bacteria (superkingdom); p__Actinobacteriota; c__Actinobacteria; o__Frankiales; f__Sporichthyaceae; g__; s__
k__Bacteria (superkingdom); p__Actinobacteriota; c__Actinobacteria; o__Frankiales; f__Sporichthyaceae; g__; s__
k__Bacteria (superkingdom); p__Actinobacteriota; c__Actinobacteria; o__Frankiales; f__Sporichthyaceae; g__hgcI clade; s__
k__Bacteria (superkingdom); p__Actinobacteriota; c__Actinobacteria; o__Frankiales; f__Sporichthyaceae; g__hgcI clade; s__
k__Bacteria (superkingdom); p__Actinobacteriota; c__Actinobacteria; o__Frankiales; f__Sporichthyaceae; g__hgcI clade; s__
k__Bacteria (superkingdom); p__Actinobacteriota; c__Actinobacteria; o__Micrococcales; f__Microbacteriaceae; g__; s__
k__Bacteria (superkingdom); p__Actinobacteriota; c__Actinobacteria; o__Micrococcales; f__Microbacteriaceae; g__; s__
k__Bacteria (superkingdom); p__Actinobacteriota; c__Actinobacteria; o__Micrococcales; f__Microbacteriaceae; g__Lysinimonas; s__
k__Bacteria (superkingdom); p__Actinobacteriota; c__Actinobacteria; o__Micrococcales; f__Microbacteriaceae; g__Parafrigoribacterium; s__
k__Bacteria (superkingdom); p__Actinobacteriota; c__Actinobacteria; o__Micrococcales; f__Microbacteriaceae; g__Parafrigoribacterium; s__
k__Bacteria (superkingdom); p__Armatimonadota; c__Armatimonadia; o__; f__; g__; s__
k__Bacteria (superkingdom); p__Armatimonadota; c__Armatimonadia; o__; f__; g__; s__
k__Bacteria (superkingdom); p__Armatimonadota; c__Armatimonadia; o__Armatimonadales; f__; g__; s__
k__Bacteria (superkingdom); p__Armatimonadota; c__Armatimonadia; o__Armatimonadales; f__; g__; s__
k__Bacteria (superkingdom); p__Armatimonadota; c__Armatimonadia; o__Armatimonadales; f__; g__; s__
k__Bacteria (superkingdom); p__Armatimonadota; c__Armatimonadia; o__Armatimonadales; f__; g__; s__
k__Bacteria (superkingdom); p__Armatimonadota; c__Armatimonadia; o__Armatimonadales; f__; g__; s__
k__Bacteria (superkingdom); p__Armatimonadota; c__Armatimonadia; o__Armatimonadales; f__; g__; s__
k__Bacteria (superkingdom); p__Armatimonadota; c__Armatimonadia; o__Armatimonadales; f__; g__; s__
k__Bacteria (superkingdom); p__Armatimonadota; c__Armatimonadia; o__Armatimonadales; f__; g__; s__
k__Bacteria (superkingdom); p__Armatimonadota; c__Armatimonadia; o__Armatimonadales; f__; g__; s__
k__Bacteria (superkingdom); p__Armatimonadota; c__Armatimonadia; o__Armatimonadales; f__; g__; s__
k__Bacteria (superkingdom); p__Armatimonadota; c__Armatimonadia; o__Armatimonadales; f__; g__; s__
k__Bacteria (superkingdom); p__Armatimonadota; c__Armatimonadia; o__Armatimonadales; f__; g__; s__
k__Bacteria (superkingdom); p__Armatimonadota; c__Armatimonadia; o__Armatimonadales; f__; g__; s__
k__Bacteria (superkingdom); p__Armatimonadota; c__Armatimonadia; o__Armatimonadales; f__; g__; s__
k__Bacteria (superkingdom); p__Armatimonadota; c__Armatimonadia; o__Armatimonadales; f__; g__; s__
k__Bacteria (superkingdom); p__Armatimonadota; c__Armatimonadia; o__Armatimonadales; f__; g__; s__
k__Bacteria (superkingdom); p__Armatimonadota; c__Armatimonadia; o__Armatimonadales; f__; g__; s__
k__Bacteria (superkingdom); p__Armatimonadota; c__Armatimonadia; o__Armatimonadales; f__; g__; s__
k__Bacteria (superkingdom); p__Armatimonadota; c__Armatimonadia; o__Armatimonadales; f__; g__; s__
k__Bacteria (superkingdom); p__Armatimonadota; c__Armatimonadia; o__Armatimonadales; f__; g__; s__
k__Bacteria (superkingdom); p__Armatimonadota; c__Armatimonadia; o__Armatimonadales; f__; g__; s__
k__Bacteria (superkingdom); p__Armatimonadota; c__Armatimonadia; o__Armatimonadales; f__; g__; s__
k__Bacteria (superkingdom); p__Armatimonadota; c__Armatimonadia; o__Armatimonadales; f__; g__; s__
k__Bacteria (superkingdom); p__Armatimonadota; c__Armatimonadia; o__Armatimonadales; f__; g__; s__
k__Bacteria (superkingdom); p__Armatimonadota; c__Armatimonadia; o__Armatimonadales; f__; g__; s__
k__Bacteria (superkingdom); p__Armatimonadota; c__Armatimonadia; o__Armatimonadales; f__; g__; s__
k__Bacteria (superkingdom); p__Armatimonadota; c__Chthonomonadetes; o__Chthomonadales; f__; g__; s__
k__Bacteria (superkingdom); p__Armatimonadota; c__Chthonomonadetes; o__Chthomonadales; f__Chthonomonadaceae; g__; s__
k__Bacteria (superkingdom); p__Armatimonadota; c__Chthonomonadetes; o__Chthomonadales; f__Chthonomonadaceae; g__; s__
k__Bacteria (superkingdom); p__Armatimonadota; c__Chthonomonadetes; o__Chthomonadales; f__Chthonomonadaceae; g__; s__
k__Bacteria (superkingdom); p__Armatimonadota; c__Chthonomonadetes; o__Chthomonadales; f__Chthonomonadaceae; g__Chthonomonas; s__
k__Bacteria (superkingdom); p__Armatimonadota; c__Chthonomonadetes; o__Chthomonadales; f__Chthonomonadaceae; g__Chthonomonas; s__
k__Bacteria (superkingdom); p__Armatimonadota; c__Chthonomonadetes; o__Chthomonadales; f__Chthonomonadaceae; g__Chthonomonas; s__
k__Bacteria (superkingdom); p__Armatimonadota; c__Chthonomonadetes; o__Chthomonadales; f__Chthonomonadaceae; g__Chthonomonas; s__
k__Bacteria (superkingdom); p__Armatimonadota; c__Chthonomonadetes; o__Chthomonadales; f__Chthonomonadaceae; g__Chthonomonas; s__
k__Bacteria (superkingdom); p__Armatimonadota; c__Chthonomonadetes; o__Chthomonadales; f__Chthonomonadaceae; g__Chthonomonas; s__
k__Bacteria (superkingdom); p__Bacteroidota; c__Bacteroidia; o__Chitinophagales; f__; g__; s__
k__Bacteria (superkingdom); p__Bacteroidota; c__Bacteroidia; o__Chitinophagales; f__; g__; s__
k__Bacteria (superkingdom); p__Bacteroidota; c__Bacteroidia; o__Chitinophagales; f__37-13; g__; s__
k__Bacteria (superkingdom); p__Bacteroidota; c__Bacteroidia; o__Chitinophagales; f__37-13; g__; s__
k__Bacteria (superkingdom); p__Bacteroidota; c__Bacteroidia; o__Chitinophagales; f__Chitinophagaceae; g__; s__
k__Bacteria (superkingdom); p__Bacteroidota; c__Bacteroidia; o__Chitinophagales; f__Chitinophagaceae; g__; s__
k__Bacteria (superkingdom); p__Bacteroidota; c__Bacteroidia; o__Chitinophagales; f__Chitinophagaceae; g__; s__
k__Bacteria (superkingdom); p__Bacteroidota; c__Bacteroidia; o__Chitinophagales; f__Chitinophagaceae; g__; s__
k__Bacteria (superkingdom); p__Bacteroidota; c__Bacteroidia; o__Chitinophagales; f__Chitinophagaceae; g__; s__
k__Bacteria (superkingdom); p__Bacteroidota; c__Bacteroidia; o__Chitinophagales; f__Chitinophagaceae; g__; s__
k__Bacteria (superkingdom); p__Bacteroidota; c__Bacteroidia; o__Chitinophagales; f__Chitinophagaceae; g__Edaphobaculum; s__
k__Bacteria (superkingdom); p__Bacteroidota; c__Bacteroidia; o__Chitinophagales; f__Chitinophagaceae; g__Edaphobaculum; s__
k__Bacteria (superkingdom); p__Bacteroidota; c__Bacteroidia; o__Chitinophagales; f__Chitinophagaceae; g__Ferruginibacter; s__
k__Bacteria (superkingdom); p__Bacteroidota; c__Bacteroidia; o__Chitinophagales; f__Chitinophagaceae; g__Ferruginibacter; s__
k__Bacteria (superkingdom); p__Bacteroidota; c__Bacteroidia; o__Chitinophagales; f__Chitinophagaceae; g__Ferruginibacter; s__
k__Bacteria (superkingdom); p__Bacteroidota; c__Bacteroidia; o__Chitinophagales; f__Chitinophagaceae; g__Ferruginibacter; s__
k__Bacteria (superkingdom); p__Bacteroidota; c__Bacteroidia; o__Chitinophagales; f__Chitinophagaceae; g__Ferruginibacter; s__
k__Bacteria (superkingdom); p__Bacteroidota; c__Bacteroidia; o__Chitinophagales; f__Chitinophagaceae; g__Ferruginibacter; s__
k__Bacteria (superkingdom); p__Bacteroidota; c__Bacteroidia; o__Chitinophagales; f__Chitinophagaceae; g__Parasediminibacterium; s__
k__Bacteria (superkingdom); p__Bacteroidota; c__Bacteroidia; o__Chitinophagales; f__Chitinophagaceae; g__Puia; s__
k__Bacteria (superkingdom); p__Bacteroidota; c__Bacteroidia; o__Chitinophagales; f__Saprospiraceae; g__; s__
k__Bacteria (superkingdom); p__Bacteroidota; c__Bacteroidia; o__Chitinophagales; f__Saprospiraceae; g__; s__
k__Bacteria (superkingdom); p__Bacteroidota; c__Bacteroidia; o__Chitinophagales; f__Saprospiraceae; g__; s__
k__Bacteria (superkingdom); p__Bacteroidota; c__Bacteroidia; o__Chitinophagales; f__Saprospiraceae; g__; s__
k__Bacteria (superkingdom); p__Bacteroidota; c__Bacteroidia; o__Cytophagales; f__; g__; s__
k__Bacteria (superkingdom); p__Bacteroidota; c__Bacteroidia; o__Cytophagales; f__Cytophagaceae; g__Cytophaga; s__
k__Bacteria (superkingdom); p__Bacteroidota; c__Bacteroidia; o__Cytophagales; f__Cytophagaceae; g__Cytophaga; s__
k__Bacteria (superkingdom); p__Bacteroidota; c__Bacteroidia; o__Cytophagales; f__Cytophagaceae; g__Cytophaga; s__
k__Bacteria (superkingdom); p__Bacteroidota; c__Bacteroidia; o__Cytophagales; f__Hymenobacteraceae; g__; s__
k__Bacteria (superkingdom); p__Bacteroidota; c__Bacteroidia; o__Cytophagales; f__Hymenobacteraceae; g__; s__
k__Bacteria (superkingdom); p__Bacteroidota; c__Bacteroidia; o__Cytophagales; f__Hymenobacteraceae; g__Hymenobacter; s__
k__Bacteria (superkingdom); p__Bacteroidota; c__Bacteroidia; o__Cytophagales; f__Hymenobacteraceae; g__Hymenobacter; s__
k__Bacteria (superkingdom); p__Bacteroidota; c__Bacteroidia; o__Cytophagales; f__Hymenobacteraceae; g__Hymenobacter; s__
k__Bacteria (superkingdom); p__Bacteroidota; c__Bacteroidia; o__Cytophagales; f__Hymenobacteraceae; g__Hymenobacter; s__
k__Bacteria (superkingdom); p__Bacteroidota; c__Bacteroidia; o__Cytophagales; f__Hymenobacteraceae; g__Hymenobacter; s__
k__Bacteria (superkingdom); p__Bacteroidota; c__Bacteroidia; o__Cytophagales; f__Hymenobacteraceae; g__Hymenobacter; s__
k__Bacteria (superkingdom); p__Bacteroidota; c__Bacteroidia; o__Cytophagales; f__Spirosomaceae; g__; s__
k__Bacteria (superkingdom); p__Bacteroidota; c__Bacteroidia; o__Cytophagales; f__Spirosomaceae; g__; s__
k__Bacteria (superkingdom); p__Bacteroidota; c__Bacteroidia; o__Cytophagales; f__Spirosomaceae; g__; s__
k__Bacteria (superkingdom); p__Bacteroidota; c__Bacteroidia; o__Cytophagales; f__Spirosomaceae; g__Arcicella; s__
k__Bacteria (superkingdom); p__Bacteroidota; c__Bacteroidia; o__Cytophagales; f__Spirosomaceae; g__Flectobacillus; s__
k__Bacteria (superkingdom); p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales; f__Flavobacteriaceae; g__Flavobacterium; s__
k__Bacteria (superkingdom); p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales; f__Flavobacteriaceae; g__Flavobacterium; s__
k__Bacteria (superkingdom); p__Bacteroidota; c__Bacteroidia; o__Sphingobacteriales; f__env.OPS 17; g__; s__
k__Bacteria (superkingdom); p__Bacteroidota; c__Bacteroidia; o__Sphingobacteriales; f__env.OPS 17; g__; s__
k__Bacteria (superkingdom); p__Bacteroidota; c__Bacteroidia; o__Sphingobacteriales; f__FFCH9454; g__; s__
k__Bacteria (superkingdom); p__Bacteroidota; c__Bacteroidia; o__Sphingobacteriales; f__Sphingobacteriaceae; g__Mucilaginibacter; s__
k__Bacteria (superkingdom); p__Bacteroidota; c__Bacteroidia; o__Sphingobacteriales; f__Sphingobacteriaceae; g__Pedobacter; s__
k__Bacteria (superkingdom); p__Bacteroidota; c__Bacteroidia; o__Sphingobacteriales; f__Sphingobacteriaceae; g__Solitalea; s__
k__Bacteria (superkingdom); p__Bacteroidota; c__Bacteroidia; o__Sphingobacteriales; f__Sphingobacteriaceae; g__Solitalea; s__
k__Bacteria (superkingdom); p__Bdellovibrionota; c__Bdellovibrionia; o__Bdellovibrionales; f__; g__; s__
k__Bacteria (superkingdom); p__Bdellovibrionota; c__Bdellovibrionia; o__Bdellovibrionales; f__; g__; s__
k__Bacteria (superkingdom); p__Bdellovibrionota; c__Bdellovibrionia; o__Bdellovibrionales; f__Bdellovibrionaceae; g__; s__
k__Bacteria (superkingdom); p__Bdellovibrionota; c__Bdellovibrionia; o__Bdellovibrionales; f__Bdellovibrionaceae; g__; s__
k__Bacteria (superkingdom); p__Bdellovibrionota; c__Bdellovibrionia; o__Bdellovibrionales; f__Bdellovibrionaceae; g__; s__
