KATIE25,STOIC32,STOIC45,STOIC11,STOIC12,STOIC13,STOIC14,STOIC15,STOIC21,STOIC22,STOIC23,STOIC24,STOIC25,STOIC30,STOIC31,STOIC33,STOIC34,STOIC35,STOIC36,STOIC37,STOIC39,STOIC40,STOIC41,STOIC42,STOIC43,STOIC44,STOIC46,STOIC47,STOIC48,STOIC49,STOIC50,STOIC92,STOIC93,STOIC94,STOIC95,STOIC96
183991,181239,124874,42642,51277,71139,54839,128064,60618,62725,60460,127032,135517,45639,69250,60277,94740,122869,67640,138975,103008,124506,46126,100410,46055,58602,49900,129220,62669,126028,57919,51264,71922,51407,117754,86947
308976,401450,288019,63533,73289,123622,125349,231890,79344,86962,77362,237340,213847,59166,87890,79903,162235,173093,88713,244204,176922,220868,67737,183497,62618,93351,70739,240475,86807,236595,103032,72211,121974,66187,209544,146579
130515,88279,65797,38813,44607,36890,43327,54613,65097,53936,60711,65454,100140,43105,71690,59803,65918,100003,70885,60555,45322,56110,48523,50458,46538,50816,49225,48905,57753,42395,33725,55865,59853,51085,62127,56990
575743,1002814,506295,44845,61439,265702,162256,620985,6529,75998,17480,641737,402532,32847,7040,15255,318153,284483,14470,726030,576367,690845,16070,498466,12587,110156,23567,665825,37303,650764,210256,9182,137602,15232,552456,320102
574338,999863,506905,44824,61684,266693,162398,619139,6486,76051,17167,639790,402359,33051,6947,15358,317371,285270,14447,724312,574680,689799,15917,496612,12172,109501,23301,668557,37200,650350,210159,9153,137583,15196,551764,318983
200666,227692,143172,55823,62555,96134,69356,164962,60628,68739,63966,149789,144501,49639,59363,53635,111144,120204,68202,176317,133048,159800,50285,128598,51051,68322,55539,155879,70610,165270,69103,54128,87599,59556,145603,101664
134035,170471,101037,34196,38402,72074,49028,132594,31284,41400,34445,118131,98484,28011,29159,27616,80037,77467,34180,144040,107231,128528,26014,102683,26682,43310,27842,126839,35944,133439,50729,29183,56711,31711,113876,75643
94046,68964,64846,37422,39908,39828,26415,46342,48989,44857,48075,53022,71223,32813,54208,43363,44697,69410,52127,56046,39792,45960,35065,39071,34545,34950,40659,49097,48682,42993,28967,41416,46015,40917,50017,41667
100685,119984,130560,23906,19811,20141,124328,99664,21599,17375,11716,96476,73308,4319,21593,16746,85945,43543,23332,62146,48993,69038,32401,67194,19064,38835,25653,54629,20568,65808,38458,27938,54311,13327,65122,50635
94126,113870,119367,21695,18510,19708,114895,94559,19807,16050,10646,89669,69520,4102,19142,15107,77368,39945,21122,59878,47353,65621,28569,61311,17233,34215,22615,51577,18942,63146,36010,24038,50373,12058,61466,45483
151591,264345,178390,16035,30905,23874,153752,164267,13326,30834,12135,140755,106276,5051,13790,31782,94106,66839,15135,98058,80763,110761,20811,106764,23111,38795,16382,81389,21165,89312,56876,17961,87489,14350,80639,58482
129024,192754,161829,18384,26712,23659,141049,136255,17420,24757,11746,119973,91477,4666,17021,23712,89682,55098,18581,84668,66953,93314,25260,89052,21404,39612,18800,72495,21409,83163,49318,22052,75098,13842,77006,55507
60778,30145,42212,30238,31023,22748,19394,15076,36620,36998,41028,14352,44610,30316,36254,35442,24994,41009,38355,11696,10300,14284,28853,13390,29863,29940,29796,12768,39594,12881,26334,36468,37687,36036,23095,23015
963230,543329,585691,563346,593970,421622,303606,248252,859279,709588,784418,234120,684020,605618,809287,773344,545335,986904,868154,229030,198466,253931,601866,255780,645646,604506,605625,206003,798181,208390,273676,670683,714557,756654,364549,442224
170396,152042,116589,50509,57384,59106,45496,91760,71299,67705,72820,100094,121161,46712,85672,65174,78254,111439,78443,102861,77519,92959,50897,72850,48406,54559,63497,91728,76344,84846,48525,59775,69017,56902,89725,69469
472879,257000,286963,264006,257915,211098,138365,134055,368462,299708,346050,151433,353224,248302,427096,367607,266330,473956,404389,158254,118595,163391,258317,147023,257956,270382,315378,153236,416646,131366,142986,291619,292084,301083,192401,221579
1169088,629677,698236,674352,693228,504078,356790,296707,1027915,835605,970442,300258,842079,705987,1094148,1013340,682223,1216288,1099227,281636,228190,312598,714289,314135,732754,744079,808303,270764,1092056,270545,336000,797587,811377,840548,427018,535909
3679,2160,1878,44,64,120,288,37,133,919,271,32,2547,1646,197,567,139,1463,101,191,149,284,242,309,251,2077,74,598,1363,131,4116,249,371,756,522,1771
31553,15719,20900,263,396,856,2211,252,1023,7408,2670,202,20525,12326,1335,4759,960,10534,821,1164,931,1932,1475,2276,1604,15680,484,5213,10871,985,34260,1826,2935,5557,4417,12435
1395,886,795,127,24,27,146,87,66,288,223,80,862,473,79,266,88,341,209,149,150,275,390,240,259,684,35,215,255,142,1155,197,244,355,272,371
40392,21561,22630,288,240,1130,2268,279,928,6078,2239,357,26943,23667,1717,5815,943,9702,617,862,1350,2248,925,2358,1095,13221,262,6240,8776,3151,48316,1930,4472,6354,12591,12758
7313,3973,5796,280,220,689,784,109,419,1830,704,61,4747,3739,277,1352,278,1869,303,251,346,478,1075,731,414,2397,276,1366,1971,387,9692,1397,1406,1187,1149,2029
619,294,497,40,30,110,117,10,39,206,40,10,397,421,27,141,25,138,22,26,54,49,75,49,47,236,17,155,250,48,1090,114,180,151,131,269
1770,797,1342,56,43,149,217,17,82,514,153,13,1245,1005,81,335,62,509,66,61,106,100,133,146,132,807,23,313,633,102,2796,182,336,362,336,709
8678,4502,7257,260,302,1020,1053,149,426,2528,698,70,5688,5317,318,1654,311,1957,245,254,491,536,779,639,431,2807,194,1591,2356,518,12096,1110,2001,1807,1471,2769
6887,8485,9376,2103,630,205,1020,607,3858,1952,4200,923,4461,3523,2272,5903,2312,2241,2373,657,997,806,8676,1941,1336,5884,3261,1732,2660,1614,5647,11519,3621,1920,3924,1530
3449,3642,4074,981,669,113,548,368,2042,1065,2329,706,2306,1762,1048,2741,1158,1280,1133,332,685,457,4239,1145,985,3386,1270,934,1287,793,2902,5708,2141,1340,2122,1016
14093,20740,25788,3358,1501,608,1703,991,6470,6455,10520,1058,8666,10311,3739,16206,4924,4442,3423,1326,1538,1445,16226,4590,2566,9855,4189,4544,6528,3259,13116,23146,10447,5215,9552,3732
2786,2561,2243,884,338,71,520,309,1693,405,1372,705,1756,899,888,1456,877,907,962,293,656,393,3269,838,746,2626,1246,617,811,669,2146,4113,1043,713,1419,587
8006,3448,4264,53,54,81,190,67,80,2063,179,65,5226,2196,220,766,93,1792,177,212,260,505,212,301,405,1185,29,1329,2604,340,7608,251,422,874,763,2428
2631,794,1094,52,12,11,77,38,31,172,72,35,1744,814,64,81,22,554,89,105,82,164,168,107,131,472,16,354,880,102,1806,60,69,119,241,717
1449,687,1081,9,8,19,57,8,16,86,31,3,994,984,14,25,24,233,147,105,111,130,271,122,233,352,15,384,760,48,1660,7,102,121,178,247
408,361,606,897,38,97,52,55,1370,102,248,21,289,391,633,273,176,229,1094,133,77,169,2878,201,171,491,1229,92,176,72,437,3130,438,254,213,196
